zipcode,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating
98103,2,1.0,1.0,1.0,130.0,90.0
98105,4,1.5,3.0,2.0,210.0,93.0
98105,6,2.5,2.0,3.0,439.0,91.0
98105,3,1.0,1.0,1.0,95.0,90.0
98105,4,1.0,2.0,3.0,109.0,99.0
98103,1,1.0,1.0,1.0,40.0,88.0
98103,4,1.0,2.0,1.0,175.0,95.0
98105,3,1.0,1.0,2.0,80.0,96.0
98105,2,1.0,1.0,1.0,105.0,100.0
98103,4,1.0,2.0,3.0,100.0,98.0
98103,1,1.0,1.0,1.0,40.0,94.0
98105,6,1.0,2.0,4.0,160.0,98.0
98103,2,1.0,1.0,1.0,55.0,94.0
98103,3,1.0,1.0,2.0,55.0,93.0
98103,2,2.5,1.0,1.0,150.0,100.0
98105,6,1.0,2.0,2.0,95.0,93.0
98103,4,1.0,2.0,2.0,155.0,80.0
98105,2,1.0,1.0,1.0,55.0,99.0
98103,1,1.0,1.0,1.0,40.0,95.0
98103,7,2.0,3.0,5.0,250.0,93.0
98103,2,1.0,0.0,1.0,145.0,96.0
98103,2,1.0,1.0,1.0,54.0,91.0
98103,4,1.0,1.0,1.0,99.0,100.0
98103,8,3.0,3.0,3.0,254.0,97.0
98115,3,1.0,0.0,2.0,100.0,97.0
98105,2,1.0,1.0,1.0,65.0,99.0
98103,4,1.0,2.0,2.0,150.0,99.0
98103,2,1.0,1.0,1.0,140.0,100.0
98103,3,1.0,1.0,2.0,45.0,97.0
98105,3,1.0,1.0,2.0,74.0,89.0
98105,2,1.0,1.0,2.0,60.0,80.0
98103,4,1.0,1.0,1.0,135.0,99.0
98103,2,1.0,1.0,1.0,85.0,100.0
98103,8,2.0,3.0,3.0,310.0,95.0
98103,1,1.0,1.0,1.0,40.0,87.0
98103,8,2.5,3.0,3.0,245.0,95.0
98103,2,1.5,1.0,1.0,65.0,100.0
98103,2,1.0,1.0,1.0,57.0,92.0
98105,2,1.0,0.0,1.0,75.0,100.0
98103,3,1.0,0.0,1.0,120.0,98.0
98103,6,1.0,1.0,6.0,120.0,88.0
98103,2,1.0,1.0,1.0,40.0,100.0
98103,12,3.0,6.0,6.0,490.0,99.0
98115,2,1.0,1.0,1.0,50.0,100.0
98103,6,1.0,2.0,2.0,200.0,96.0
98103,1,1.0,1.0,1.0,40.0,100.0
98103,2,1.0,1.0,1.0,95.0,97.0
98103,2,1.0,1.0,1.0,160.0,80.0
98103,2,2.0,1.0,1.0,55.0,95.0
98103,2,1.0,1.0,1.0,85.0,100.0
98103,5,1.0,2.0,3.0,144.0,96.0
98105,4,1.0,0.0,2.0,115.0,95.0
98103,2,2.0,1.0,1.0,55.0,98.0
98103,3,1.0,1.0,1.0,95.0,98.0
98109,4,1.0,1.0,2.0,95.0,93.0
98119,2,1.0,1.0,1.0,50.0,80.0
98119,6,2.5,3.0,2.0,445.0,100.0
98119,2,1.0,1.0,1.0,75.0,97.0
98119,4,1.0,2.0,2.0,100.0,100.0
98109,2,1.0,1.0,1.0,130.0,80.0
98109,5,3.0,3.0,3.0,235.0,96.0
98109,4,1.0,1.0,1.0,100.0,80.0
98119,2,1.0,1.0,1.0,120.0,80.0
98119,4,1.0,0.0,2.0,80.0,100.0
98119,5,1.0,2.0,3.0,110.0,97.0
98119,9,3.0,4.0,5.0,395.0,100.0
98119,2,1.0,1.0,1.0,88.0,94.0
98119,2,1.0,1.0,1.0,55.0,97.0
98119,2,1.0,0.0,1.0,145.0,97.0
98119,6,2.0,3.0,3.0,425.0,96.0
